2020-11-28 16:26:50.499 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor[195] - LOCAL_SNAPSHOT_PATH:/Users/admin/nacos/config
2020-11-28 16:26:50.550 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter[53] - limitTime:5.0
2020-11-28 16:26:50.613 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder[87] - Ignore the empty nacos configuration and get it based on dataId[whitzard-manager] & group[dev]
2020-11-28 16:26:50.654 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder[87] - Ignore the empty nacos configuration and get it based on dataId[whitzard-manager.yaml] & group[dev]
2020-11-28 16:26:50.670 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder[87] - Ignore the empty nacos configuration and get it based on dataId[whitzard-manager-dev.yaml] & group[dev]
2020-11-28 16:26:50.672 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration[112] - Located property source: [BootstrapPropertySource {name='bootstrapProperties-whitzard-manager-dev.yaml,dev'}, BootstrapPropertySource {name='bootstrapProperties-whitzard-manager.yaml,dev'}, BootstrapPropertySource {name='bootstrapProperties-whitzard-manager,dev'}]
2020-11-28 16:26:50.679 [main] INFO  com.newpi.data.WhitzardManager[655] - The following profiles are active: dev
2020-11-28 16:26:51.777 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate[249] - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-28 16:26:51.781 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate[127] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-28 16:26:51.826 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate[187] - Finished Spring Data repository scanning in 15ms. Found 0 Redis repository interfaces.
2020-11-28 16:26:51.898 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId[155] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-11-28 16:26:52.124 [main] INFO  o.springframework.cloud.context.scope.GenericScope[295] - BeanFactory id=9f08ecfd-977e-37a8-ac13-487f3102779c
2020-11-28 16:26:52.511 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer[108] - Tomcat initialized with port(s): 8010 (http)
2020-11-28 16:26:52.526 [main] INFO  org.apache.coyote.http11.Http11NioProtocol[173] - Initializing ProtocolHandler ["http-nio-8010"]
2020-11-28 16:26:52.527 [main] INFO  org.apache.catalina.core.StandardService[173] - Starting service [Tomcat]
